,male,female,flames_result
733,peter tapia,becky mcintyre,Affection
734,gary stephens,mikayla moreno,Affection
735,jeffrey smith,sheila wood,Affection
736,eric montoya,virginia brown,Enemy
737,michael humphrey,laura cole,Enemy
738,tyler cox,ashley malone,Love
739,christian pena,katherine king,Marriage
740,troy holden,angel villa,Affection
741,william ward,leslie harris,Enemy
742,jermaine webb,monica garcia,Marriage
743,edgar newman dds,laura short,Marriage
744,eric armstrong,sarah dawson,Enemy
745,christopher morris,shelby shelton,Friends
746,barry blake,patricia stokes,Affection
747,edward french,jennifer lane,Affection
748,brent cabrera md,rhonda crosby,Enemy
749,william davis,amber burgess,Friends
750,jeremy kim,madeline alvarado,Friends
751,jordan davis,annette pacheco,Friends
752,robert jackson,shannon young,Affection
753,jerry kent,jessica arnold,Affection
754,joshua dean,alexandria james,Affection
755,michael keller,valerie lara,Friends
756,gary smith,lisa martinez,Enemy
757,robert davis,lisa simpson,Marriage
758,james johnson,jennifer schneider,Marriage
759,grant hall,paula perez,Love
760,richard mendez,mary hudson,Enemy
761,paul scott,kayla howard,Affection
762,travis gonzalez,shelby robinson dds,Affection
763,john matthews,dr leslie massey md,Friends
764,scott perez,jessica sanchez,Marriage
765, larry brady,pamela flores,Marriage
766,christopher mann,cynthia oneill,Affection
767,jeremy bates,tonya lowery,Enemy
768,thomas martinez,jacqueline perry,Marriage
769,william hernandez,jennifer thompson,Friends
770,christian castillo,jessica jenkins,Affection
771,harold smith,emily rivas,Affection
772,john carter dds,nicole nicholson,Marriage
773,james chung,emily anderson,Marriage
774,francisco lambert,shelly goodwin,Marriage
775,marcus mcknight,danielle ramirez,Marriage
776,david andrews,sarah ware,Enemy
777,dean cruz,bonnie green,Enemy
778,christopher reese,katie hatfield,Friends
779,ricky dixon,julia perez,Marriage
780,james turner,cassandra massey,Marriage
781,james christian,mercedes williams,Affection
782,gerald robles,patricia silva,Affection
783,thomas moreno,brittany morrison,Marriage
784,john george,theresa watson,Love
785,kerry diaz,jordan diaz,Marriage
786,dennis howard,haley cole,Affection
787,kenneth diaz,carolyn nixon,Friends
788,connor jensen,morgan watkins md,Friends
789,john robinson,jennifer weber,Marriage
790,francisco berger,natasha andrade,Marriage
791,leonard pierce,brittany hill,Affection
792,dustin williams,kristina waters,Enemy
793,charles garrett,barbara murphy,Friends
794,theodore hanson,dominique brooks,Marriage
795, gregory wilkins,marilyn galloway,Enemy
796,ryan nguyen,jennifer brown,Marriage
797,jack campbell,sarah porter,Marriage
798,danny santana,april fleming,Friends
799,joseph thompson,anna carter,Affection
800,kevin thompson,christine roberts,Enemy
801,cristian gibson,melinda hood,Affection
802,william rollins dds,heather travis,Affection
803,joshua rosales,tina rosales,Marriage
804,michael harris,kara whitaker,Affection
805,edwin johnson,jill paul,Friends
806,nathaniel lane,sarah moore,Affection
807,justin morgan,anna newton,Enemy
808,roger pratt,elizabeth martin,Marriage
809,ray murphy,rachel shaw,Love
810,philip ward,diane fowler,Affection
811,ryan martin,emma cherry,Affection
812,nathan peterson,sharon maldonado,Enemy
813,pedro vega,hannah morgan,Marriage
814,david parks,lisa evans,Affection
815,robert wilson,felicia hampton,Affection
816,juan edwards,kimberly murphy,Friends
817,brandon brown,michelle walker,Love
818,keith phillips,nicole oconnor,Affection
819,stephen melendez,jennifer glover,Marriage
820,danny hernandez,carla beasley,Affection
821,james barton,janet patterson,Friends
822,robert lewis,stephanie mitchell,Affection
823,eric fox,diane drake,Love
824,joshua fuller,tamara andrade,Friends
825,nicholas morales,alice garcia,Affection
826, joshua lewis,shelly leonard,Enemy
827,david johnston,danielle jones,Affection
828,sergio hayes,janice mitchell,Friends
829,henry martinez,terri jones,Affection
830,robert ellison,jaime rosales,Enemy
831,todd phillips,jennifer baker,Enemy
832,daniel osborn,gabrielle davis,Marriage
833,jeffrey camacho,michelle anderson,Marriage
834,derrick howard,amanda smith,Affection
835,kenneth smith,rebecca mcgee,Friends
836,kenneth myers,stacy washington,Affection
837,carl shelton,jennifer thomas,Enemy
838,robert trujillo,ashley adams,Enemy
839,robert carr,ashley evans,Marriage
840,rodney bridges,savannah sullivan,Enemy
841,samuel walton,michaela conrad,Love
842,andrew jones,kimberly moreno,Affection
843,greg case,brittany torres,Marriage
844,jeremy mcclure,heather martinez,Marriage
845,alexander murphy,danielle lee,Enemy
846,michael edwards,christina lee,Marriage
847,david adkins,alexis lindsey md,Enemy
848,roger joseph,tina massey,Marriage
849,mark walker,joan smith,Friends
850,marc jones,casey hodges,Affection
851,kevin hansen,karina rogers,Enemy
852,timothy blankenship,amy perez,Marriage
853,nicholas cunningham,michelle mendez,Affection
854,ivan wallace,wendy lewis,Affection
855,eric watkins,shelly zhang,Friends
856,joseph odom,tamara fisher,Friends
857,paul thomas,danielle ochoa,Marriage
858,troy nunez,jessica ayala,Affection
859,david long,kimberly estes,Friends
860,george johnson,emily li,Affection
861,joseph burns,meagan wheeler,Affection
862,brandon hansen,jennifer evans,Affection
863,bobby mcneil,michelle pena,Affection
864,michael freeman,stephanie sanchez,Love
865,gabriel villa,sara rodriguez,Love
866,jorge hardin,terri smith,Love
867,dr travis wolfe,karen paul,Affection
868,alex bryant,theresa weeks,Love
869,joseph cabrera,elizabeth perez,Enemy
870,justin coleman,melissa mckee,Enemy
871,keith armstrong,jean andrews dds,Affection
872,douglas castillo,tracy keller,Friends
873,riley higgins,amanda harrison,Affection
874,william moore,megan duncan,Marriage
875,travis gutierrez,sheri shaw,Enemy
876,marvin phelps,laura reyes,Enemy
877,darrell lang,sharon leach,Enemy
878,nathan ferguson,marie hall,Affection
879,craig jimenez,kelsey buchanan,Friends
880,barry reed,angela parks,Enemy
881,james kim,maria harmon,Enemy
882,dr adrian adams,holly mcdonald,Affection
883,eric johnson, victoria morgan,Marriage
884,matthew kelley,jeanette rodriguez,Affection
885,russell williams,natalie martinez,Love
886,michael page,andrea williams,Enemy
887,anthony boyd,alicia barton,Enemy
888,david shaw,renee oconnor,Friends
889,christopher howard jr,mallory powers,Affection
890,william andrews,claudia smith,Enemy
891,shawn banks,elizabeth harvey,Friends
892,gary burgess,sarah lopez,Love
893,andrew fisher,sherri gutierrez,Enemy
894,matthew pennington,jackie mclaughlin,Affection
895,dr larry hale,cheryl wagner,Marriage
896,dustin meadows,ashley baker,Marriage
897,matthew lopez,desiree rivera,Affection
898,donald clements,veronica morgan,Marriage
899,ray johnson,teresa rangel,Marriage
900,sean evans,brittany davis,Love
901,david wheeler,alexandria black,Affection
902,francisco powers,jamie wood,Affection
903,richard ballard,elizabeth jones,Marriage
904,allen baker,stephanie chase,Affection
905,james sanchez,donna martin,Affection
906,dr charles ramirez,alexandra smith,Marriage
907,david lucas,shannon nichols,Affection
908,joe cole,alexis fox,Affection
909,earl holloway,erica lucas,Love
910,stephen griffin,kayla richardson dds,Friends
911,allen anderson,renee jackson,Marriage
912,michael marks,cheyenne haas,Enemy
913,brent lynn,morgan mcclure,Marriage
914, keith clayton,karen wright,Affection
915,william gross,jessica nelson,Love
916,adam brown,joy anderson,Enemy
917,martin dominguez,catherine banks,Affection
918,adam gill,jennifer brown,Love
919,carlos mills,alexandria green,Affection
920,christopher kim,ashley rogers,Marriage
921,james nunez,kathryn johnson,Affection
922,andrew morrison,allison morris,Friends
923,eric velazquez,victoria williams,Affection
924,nathan tucker,jennifer clark,Affection
925,alan caldwell,kayla flores,Love
926,robert woods,lisa lee,Affection
927,christopher cooper,carmen vasquez,Affection
928,cristian hodge,melissa smith,Enemy
929,corey smith,haley wood md,Love
930,raymond cooke,deanna olson,Enemy
931,christopher morrow,catherine mcdowell,Enemy
932,matthew shaw,sarah watson,Friends
933,robert foster,amanda hess,Friends
934,marcus zuniga,kimberly wood,Friends
935,matthew garner,christine peck,Affection
936,zachary strickland,carla sutton,Affection
937,zachary bowman,elizabeth zamora,Enemy
938,nathan hernandez,april anderson,Enemy
939,christopher williams,yolanda ford,Friends
940,justin saunders,kristin rodgers,Enemy
941,timothy navarro,ashley williams,Marriage
942,joshua bender,christine avila,Affection
943,robert berg,jessica taylor,Affection
944,christopher ward,susan nelson,Friends
945,joseph smith,angela ellison,Friends
946,jonathan jackson,debra patterson,Affection
947,chad barrett,mary reynolds,Affection
948,jose russell,mary flowers,Enemy
949,michael steele,katelyn joseph,Enemy
950,david flores,michelle ray,Love
951,paul underwood ii, angela stafford dds,Marriage
952,nicholas zimmerman,beth rivas,Affection
953,carl simmons,jill jones,Affection
954,gordon gomez,bianca travis,Love
955,shawn rose,michelle turner,Affection
956,christopher carter,dawn perkins,Affection
957, james kelley jr,chelsea love,Friends
958,matthew martin,stacy williams,Love
959,joseph gomez,michelle pierce,Affection
960,william evans,julie campbell,Enemy
961,aaron rodriguez,dr april graham md,Affection
962,john cook,angela castaneda,Friends
963,robert padilla,melinda bryan,Enemy
964,kyle gomez,teresa barker,Friends
965,lucas smith,jordan carlson,Affection
966,mark harvey,amanda glover,Affection
967,joshua anderson,jennifer cain,Marriage
968,jose mercado,alyssa tucker,Love
969,scott liu,abigail klein,Affection
970,eric clarke,melissa green,Affection
971,bill sanders,ana wolf,Love
972,michael cole,ms julie herman md,Love
973,jonathan mathis,tracy thompson,Marriage
974,david price,brenda lin,Enemy
975,lucas bailey,molly warner,Marriage
976,hunter thompson,taylor morris,Marriage
977,jose taylor,wendy collins,Love
978,jesse lewis,kristen king,Love
979, roger anderson,lisa huang,Marriage
980,donald contreras,dawn becker,Affection
981,william wagner,melissa torres,Enemy
982,mark webster,bianca myers,Enemy
983,thomas delgado,sandra davis,Affection
984,michael taylor,danielle avila,Love
985,jeffrey davis,diana mercado,Love
986,luke ford,patricia james,Affection
987,scott evans,martha phillips,Marriage
988,bruce freeman,kimberly mcdaniel,Enemy
989,shawn morris,emily martinez,Marriage
990,walter johnson,sabrina lewis,Affection
991,andrew zavala,cynthia andrews md,Love
992,eric simpson,angela rodriguez,Affection
993,jason garcia,kelly peterson,Friends
994,jonathon ball,elizabeth williams,Friends
995,brett patrick,angela briggs,Affection
996,gregory huffman,joan roberts,Affection
997,thomas mason, belinda reed dvm,Affection
998,derek pena,laura flores,Love
999,david padilla jr,christy kennedy,Enemy
1000,kevin guerra,sydney chan,Affection
1001,christopher hahn,kelly white,Affection
1002,dr dennis cox,kaitlin lewis,Affection
1003,jared malone,ann ramirez,Marriage
1004,brian chapman,mary mitchell,Enemy
1005,bradley todd,isabella young,Love
1006,anthony mcdaniel,kelly morales,Marriage
1007,christopher reed,amber turner,Affection
1008,christopher stewart,cynthia mercado,Affection
1009,eric harrison,isabel little,Affection
1010,anthony schmidt,rebecca simmons,Love
1011,timothy brown,victoria david,Affection
1012,stephen figueroa,vanessa marshall,Marriage
1013,michael cooley,jessica jackson,Affection
1014,troy miller,maria mcbride,Love
1015,david huffman,megan warner dds,Affection
1016,joshua vaughn,stephanie smith,Friends
1017,matthew guerrero,katherine jackson,Affection
1018,craig cruz,wendy mcdaniel,Marriage
1019,michael smith,jeanette bell,Marriage
1020,peter harrison,sara alvarado,Love
1021,carl ortiz,kathryn smith,Marriage
1022,louis johnson,yesenia alvarez,Friends
1023,george maldonado,taylor best,Marriage
1024,dylan morales,jodi jordan,Enemy
1025,paul stanley,selena turner,Enemy
1026,john sexton,anna blevins,Affection
1027,david warren,molly wong,Friends
1028,henry cox,elizabeth lawrence,Affection
1029,casey ferguson,mary medina,Marriage
1030,christian flores,patricia merritt,Enemy
1031,christopher mack,teresa owens,Love
1032,mark williams,katelyn wheeler,Affection
1033, michael webb,catherine mckinney,Marriage
1034,rodney gonzalez,jody jones,Enemy
1035,adam rivera,stephanie moss,Affection
1036,james miles ii,lisa butler,Enemy
1037,joshua newman,nancy carter,Affection
1038,blake russell,amber warren,Love
1039,edward campbell,nicole moore,Affection
1040,matthew hines,adrienne kelley,Affection
1041,alexander estes,stephanie cruz,Enemy
1042,dr joseph conner,lori young,Friends
1043,timothy anderson,courtney lara,Affection
1044,vincent fox,kristin lopez,Love
1045,john cross,rebecca turner,Affection
1046,aaron cooper,anna smith,Affection
1047,angel gregory,alison maxwell,Marriage
1048,jacob fischer,megan stephens,Friends
1049,luis johnson,kristin wright,Affection
1050,jacob rice, jessica gamble,Enemy
1051,steven wood,chelsey horne,Love
1052,william williams,deborah lindsey,Friends
1053,jason johnson,rachel stevens,Affection
1054,charles keller,sara garza,Marriage
1055,william phelps,angelica brown,Affection
1056,mark bryant,brittany rodriguez,Love
1057,kyle baldwin,ashley park,Enemy
1058,ian marks,karen coleman,Enemy
1059,patrick moon,christina yoder,Affection
1060,brandon rush,joanna fitzpatrick,Marriage
1061,casey obrien,kelly middleton,Affection
1062,christopher howell,michelle weeks,Affection
1063,kevin carey,bonnie white,Marriage
1064,john rowe,nicole lynch,Enemy
1065,jesse dalton,sara jones,Enemy
1066,joshua hunter,katelyn clayton,Affection
1067,scott wright,sandra maddox,Affection
1068,juan price,cassandra miles,Enemy
1069,charles wallace,janet wilson,Love
1070,scott rodriguez,christina sawyer,Affection
1071,james knight,joyce hill,Affection
1072,brian smith,paula wallace,Affection
1073,tommy hawkins,wendy escobar,Affection
1074,joseph blackburn,julie owens,Love
1075,ryan sexton, samantha stafford md,Affection
1076,james williamson,cindy henry,Affection
1077,mark lopez,morgan spencer,Affection
1078,ryan lopez,april hicks,Marriage
1079,brian kennedy,kirsten torres,Enemy
1080,zachary newman,sarah adams,Love
1081,david barry,christina grant,Affection
1082,mark forbes,sydney johns,Friends
1083,dustin rodriguez,kathryn haynes,Friends
1084,michael miller,nicole howard,Enemy
1085,brian wilson,sarah boone,Marriage
1086,omar rodriguez, elizabeth howard,Love
1087,caleb ingram,holly gibbs,Marriage
1088,jerry dunn,barbara williams,Enemy
1089,bobby sandoval,april griffin,Friends
1090,mark ortega,veronica owens,Marriage
1091,garrett giles,kelly gonzales,Love
1092,christopher mills,audrey ortiz,Friends
1093,robert maldonado,amanda bailey,Affection
1094,george medina,kathleen reyes dds,Affection
1095,mark rice,donna delgado,Marriage
1096,kenneth hernandez jr,lindsey davila,Friends
1097,edward thomas,lauren english,Affection
1098,jeffrey garcia,ebony butler,Marriage
1099,jeremy french,ashley gibson,Friends
1100,joshua nelson,allison davis,Affection
1101,richard burke ii,jennifer gibson,Friends
1102,christopher johnson,jessica whitehead,Affection
1103,alan lewis,sheryl carter,Love
1104,luis rojas,stephanie mccoy,Friends
1105,aaron cunningham,amanda valdez,Affection
1106,james hall,stacey porter,Affection
